R version 4.6.0 (2026-04-24 ucrt)
Platform: x86_64-w64-mingw32/x64
Running under: Windows 11 x64 (build 26200)

Matrix products: default
  LAPACK version 3.12.1

locale:
[1] LC_COLLATE=English_India.utf8  LC_CTYPE=English_India.utf8   
[3] LC_MONETARY=English_India.utf8 LC_NUMERIC=C                  
[5] LC_TIME=English_India.utf8    

time zone: Asia/Calcutta
tzcode source: internal

attached base packages:
[1] stats4    stats     graphics  grDevices utils     datasets 
[7] methods   base     

other attached packages:
 [1] CellChat_2.2.0.9001    igraph_2.3.3          
 [3] msigdbr_26.1.0         org.Hs.eg.db_3.23.1   
 [5] AnnotationDbi_1.74.0   IRanges_2.46.0        
 [7] S4Vectors_0.50.1       Biobase_2.72.0        
 [9] BiocGenerics_0.58.1    generics_0.1.4        
[11] clusterProfiler_4.20.0 EnhancedVolcano_1.30.0
[13] ggrepel_0.9.8          spacexr_2.2.1         
[15] patchwork_1.3.2        harmony_2.0.5         
[17] Rcpp_1.1.1-1.1         future_1.70.0         
[19] SeuratWrappers_0.4.0   Banksy_1.9.1          
[21] Seurat_5.5.1           SeuratObject_5.4.0    
[23] sp_2.2-1               lubridate_1.9.5       
[25] forcats_1.0.1          stringr_1.6.0         
[27] dplyr_1.2.1            purrr_1.2.2           
[29] readr_2.2.0            tidyr_1.3.2           
[31] tibble_3.3.1           ggplot2_4.0.3         
[33] tidyverse_2.0.0       

loaded via a namespace (and not attached):
  [1] SpatialExperiment_1.22.0    R.methodsS3_1.8.2          
  [3] dichromat_2.0-0.1           goftest_1.2-3              
  [5] Biostrings_2.80.1           vctrs_0.7.3                
  [7] ggtangle_0.1.2              spatstat.random_3.5-0      
  [9] shape_1.4.6.1               digest_0.6.39              
 [11] png_0.1-9                   registry_0.5-1             
 [13] Rfast2_0.1.5.6              deldir_2.0-4               
 [15] parallelly_1.48.0           Rnanoflann_0.0.3           
 [17] magick_2.9.1                MASS_7.3-65                
 [19] fontLiberation_0.1.0        reshape2_1.4.5             
 [21] httpuv_1.6.17               foreach_1.5.2              
 [23] qvalue_2.44.0               withr_3.0.3                
 [25] ggfun_0.2.1                 ggpubr_1.0.0               
 [27] ellipsis_0.3.3              survival_3.8-6             
 [29] memoise_2.0.1               Seqinfo_1.2.0              
 [31] gson_0.2.0                  systemfonts_1.3.2          
 [33] GlobalOptions_0.1.4         tidytree_0.4.8             
 [35] zoo_1.8-15                  pbapply_1.7-4              
 [37] R.oo_1.27.1                 Formula_1.2-5              
 [39] KEGGREST_1.52.2             promises_1.5.0             
 [41] otel_0.2.0                  httr_1.4.8                 
 [43] rstatix_1.0.0               globals_0.19.1             
 [45] fitdistrplus_1.2-6          rstudioapi_0.19.0          
 [47] miniUI_0.1.2                DOSE_4.6.0                 
 [49] ggalluvial_0.12.6           processx_3.9.0             
 [51] babelgene_22.9              curl_7.1.0                 
 [53] polyclip_1.10-7             quadprog_1.5-8             
 [55] SparseArray_1.12.2          xtable_1.8-8               
 [57] doParallel_1.0.17           S4Arrays_1.12.0            
 [59] Rfast_2.1.5.2               hms_1.1.4                  
 [61] GenomicRanges_1.64.0        irlba_2.3.7                
 [63] colorspace_2.1-2            ggnetwork_0.5.14           
 [65] ROCR_1.0-12                 reticulate_1.46.0          
 [67] spatstat.data_3.1-9         magrittr_2.0.5             
 [69] lmtest_0.9-40               later_1.4.8                
 [71] ggtree_4.2.0                lattice_0.22-9             
 [73] spatstat.geom_3.8-1         NMF_0.28                   
 [75] future.apply_1.20.2         scattermore_1.2            
 [77] cowplot_1.2.0               matrixStats_1.5.0          
 [79] RcppAnnoy_0.0.23            pillar_1.11.1              
 [81] nlme_3.1-169                sna_2.8                    
 [83] iterators_1.0.14            gridBase_0.4-7             
 [85] compiler_4.6.0              RSpectra_0.16-2            
 [87] stringi_1.8.7               tensor_1.5.1               
 [89] SummarizedExperiment_1.42.0 devtools_2.5.2             
 [91] plyr_1.8.9                  crayon_1.5.3               
 [93] abind_1.4-8                 gridGraphics_0.5-1         
 [95] bit_4.6.0                   textshaping_1.0.5          
 [97] codetools_0.2-20            bslib_0.11.0               
 [99] GetoptLong_1.1.1            plotly_4.12.0              
[101] mime_0.13                   splines_4.6.0              
[103] circlize_0.4.18             fastDummies_1.7.6          
[105] tidydr_0.0.6                blob_1.3.0                 
[107] clue_0.3-68                 fs_2.1.0                   
[109] listenv_1.0.0               pkgbuild_1.4.8             
[111] ggsignif_0.6.4              ggplotify_0.1.3            
[113] RcppHungarian_0.3           Matrix_1.7-5               
[115] callr_3.8.0                 statmod_1.5.2              
[117] svglite_2.2.2               tzdb_0.5.0                 
[119] network_1.20.0              tweenr_2.0.3               
[121] pkgconfig_2.0.3             tools_4.6.0                
[123] cachem_1.1.0                aricode_1.1.0              
[125] RSQLite_3.53.3              viridisLite_0.4.3          
[127] DBI_1.3.0                   zigg_0.0.2                 
[129] fastmap_1.2.0               scales_1.4.0               
[131] grid_4.6.0                  usethis_3.2.1              
[133] ica_1.0-3                   broom_1.0.13               
[135] sass_0.4.10                 coda_0.19-4.1              
[137] FNN_1.1.4.1                 BiocManager_1.30.27        
[139] dotCall64_1.2               carData_3.0-6              
[141] RANN_2.6.2                  farver_2.1.2               
[143] scatterpie_0.2.6            yaml_2.3.12                
[145] MatrixGenerics_1.24.0       cli_3.6.6                  
[147] lifecycle_1.0.5             dbscan_1.2.5               
[149] uwot_0.2.4                  backports_1.5.1            
[151] presto_1.0.0                sessioninfo_1.2.4          
[153] BiocParallel_1.46.0         timechange_0.4.0           
[155] gtable_0.3.6                rjson_0.2.23               
[157] ggridges_0.5.7              progressr_1.0.0            
[159] parallel_4.6.0              ape_5.8-1                  
[161] limma_3.68.4                enrichit_0.1.5             
[163] jsonlite_2.0.0              RcppHNSW_0.7.0             
[165] bit64_4.8.2                 assertthat_0.2.1           
[167] Rtsne_0.17                  yulab.utils_0.2.4          
[169] BiocNeighbors_2.6.0         spatstat.utils_3.2-3       
[171] RcppParallel_5.1.11-2       aisdk_1.4.12               
[173] jquerylib_0.1.4             GOSemSim_2.38.0            
[175] spatstat.univar_3.2-0       R.utils_2.13.0             
[177] lazyeval_0.2.3              shiny_1.14.0               
[179] collapse_2.1.7              htmltools_0.5.9            
[181] enrichplot_1.32.0           GO.db_3.23.1               
[183] sctransform_0.4.3           rappdirs_0.3.4             
[185] glue_1.8.1                  spam_2.11-4                
[187] httr2_1.2.3                 XVector_0.52.0             
[189] gdtools_0.5.1               treeio_1.36.1              
[191] mclust_6.1.3                gridExtra_2.3.1            
[193] sccore_1.0.7                R6_2.6.1                   
[195] SingleCellExperiment_1.34.0 ggiraph_0.9.6              
[197] labeling_0.4.3              cluster_2.1.8.2            
[199] rngtools_1.5.2              pkgload_1.5.3              
[201] aplot_0.3.1                 statnet.common_4.13.0      
[203] DelayedArray_0.38.2         tidyselect_1.2.1           
[205] ggforce_0.5.0               car_3.1-5                  
[207] fontBitstreamVera_0.1.1     leidenAlg_1.1.8            
[209] rsvd_1.0.5                  KernSmooth_2.23-26         
[211] S7_0.2.2                    fontquiver_0.2.1           
[213] data.table_1.18.4           ComplexHeatmap_2.28.0      
[215] htmlwidgets_1.6.4           RColorBrewer_1.1-3         
[217] rlang_1.2.0                 spatstat.sparse_3.2-0      
[219] spatstat.explore_3.8-1      remotes_2.5.0              
[221] ggnewscale_0.5.2           
